date,username,text
2/7/2023 14:10,Md Kazi Shium,"Aftershocks following the deadly earthquake in Turkey and Syria can continue for “several days, several weeks, maybe even several months”, says expert. #earthquake #earthquakesyria #syriaearthquake #earthquaketurkey #turkey #turkeyearthquake #syria #islamicreminders #muslim"
2/7/2023 14:12,Tuğçe Doğan♀️,"It's been hours since the terrible earthquake in my country. Thousands of people are under the rubble. The government authorities are not helping us, they are just silencing us.  The whole world should hear our voice, help! #earthquaketurkey #PrayForTurkey"
2/7/2023 14:19,mid-day Gujarati,#Turkey: A heartbreaking moment of rescuing a child without his family #turkeyearthquake2023 #earthquake… https://t.co/Fw9N483WU2
2/7/2023 14:24,Александр Pileshko,@_GlobalCrisis_ they don't want to save people #Turkey #Syria #earthquake #earthquakeinturkey #earthquaketurkey #Syria_earthquake
2/7/2023 14:26,BL News,"Turkey: Rescue workers struggle as death toll passes 4400
#Turkey #TurkeyEarthquake #TurkeyQuake #turkey earthquake… https://t.co/Puw62AZLpe"
2/7/2023 14:26,Meme Akademy,Massive destruction in Turkey and Syria #meme_akademy #earthquake #Turkey #Syria #DESTRUCTION… https://t.co/0aB4pcpsH1
2/7/2023 14:29,Reshma Jhagroe (@reshma@defcon.social),"Aftershocks... 🤲🏻
#earthquaketurkey #earthquakesyria"
2/7/2023 14:30,HAYA Asad,"Afghanistan, Pakistan, India, and China could be the next to meet 5.8 magnitude earthquake after #Turkey with india as epicenter.  May Allah Almighty protect all. #earthquaketurkey #earthquake"
2/7/2023 14:31,Valery Brestsky,It is unfortunate that people suffer and die. But we have a solution to avoid climate catastrophe.#Turkey #Syria… https://t.co/ziRuCMbVt6
2/7/2023 14:31,SUDHA,"Due to the terrible earthquake in Turkey and Sham, 2000 people have died so far.  This is a very trying and difficult time for Turkey.  #earthquaketurkey #Turkey"
2/7/2023 14:32,Nida Beryar,"May Allah help and protect them 😭💔

#Turkey #TurkeyEarthquake #Turkey_earthquake #Syria #syriaearthquake #Lebanon… https://t.co/6HUrB8ViXL"
2/7/2023 14:32,Vin Baloch,"#BREAKING: This is just The Beginning. 🙏🤲

#earthquake 
#Turkey
#Turkiye #earthquaketurkey #TurkeyQuake https://t.co/DCLqxEOVk0"
2/7/2023 14:33,Muhammad Aasim Ali,"Ya Allah reham 🤲 Turkey And Syria 💔
#earthquake
#earthquakeinturkey
#earthquaketurkey"
2/7/2023 14:40,Fazl,"A heartbreaking moment of rescuing a child without his family.

#turkeyearthquake2023 #earthquake #earthquaketurkey… https://t.co/eECUOl9w0A"
2/7/2023 14:41,Gul hidayat,"May Allah have Mercy. Prayers for Turkey and all countries affected by #EarthquakeinTurkey

#earthquaketurkey… https://t.co/xz0eoHFzjE"
2/7/2023 14:41,Mazen Mroué,"Prayers for the victims in #Turkey and #Syria, expressing my deepest sympathy to the families of the victims. #earthquaketurkey #earthquakesyria"
2/7/2023 14:47,Om Thakur,"Pray for Turkey🙏🙏
#earthquake #PrayForTurkey #earthquakeinturkey 
#earthquaketurkey #HelpTurkey https://t.co/kNA7PhgViH"
2/7/2023 14:52,Luhwang Konyak,Prayers for Turkey and Syria. 🙏 #earthquakes #TurkeyEarthquake #syriaearthquake #Turkey #Syria #PrayersForTurkey… https://t.co/uKP9wxtQTm
2/7/2023 14:53,Vijay Kumar Shukla,"More videos of devastation in Turkey. 
#earthquake
#earthquaketurkey
#earthquakeinturkey 
#earthquakeTurkiye https://t.co/stwQHHkadp"
2/7/2023 14:53,Afølabi W. Babs,"What a way to start the day!
Alhamdulilah 🤲🏾 🙏🏽
#earthquaketurkey #Turkey #Atsu https://t.co/qNMgt3V75W"
2/7/2023 14:55,!!-- YO YO --!!,"Due to aftershocks Buildings fall again this morning in Turkey.
💔💔
#earthquake #Turkey #Syria #earthquakeinturkey… https://t.co/alfEddUqTa"
2/7/2023 15:01,Samer S. Judeh,My thoughts and prayers are with the people of #Turkey  and #Syria. My deep condolences to the families of the victims and my sincere wishes for a speedy recovery for the injured. #earthquaketurkey #earthquakesyria  😔🙏
2/7/2023 15:01,Ananya_Aarushi Twins,"Dog calling people to help his owner trapped under rubble. 
#Turkey #TurkeyEarthquake #earthquaketurkey… https://t.co/NLqAw4yPGs"
2/7/2023 15:02,Voice of Pakistan Minority,Sending love and prayers to all those who have been affected by this devastating #earthquake in #Turkey and #Syria.… https://t.co/I2Plc4aipe
2/7/2023 15:04,Raoul,"Guess who is sending help? Israel, the country the Syrian government has been actively fighting since its founding… https://t.co/svWqwArfnp"
2/7/2023 15:07,Harish Deshmukh,"Rescue team flies to #turkey from  #Taiwan   
#turkey #TurkeyEarthquake #HelpTurkey #TURKEYNEEDSHELP… https://t.co/LZsKl1D2GJ"
2/7/2023 15:09,Tea-Licious,"@islamicfreedom Ya Allaha help my brothers ,sisters they need YOU the most 
#earthquaketurkey"
2/7/2023 15:12,Afraa Yousef,"How can this be human?
#LiftSyriaSanctions #Lift_sanctions_on_Syria #LiftSanctionsOnSyria… https://t.co/Wvm8Eur44i"
2/7/2023 15:13,Fr. Spyridon Tanous,"After the #earthquaketurkey, and #syriaearthquake if there is still honor for the #Syrian opposition groups, they should take the initiative to break the siege on Syria and the Syrians."
2/7/2023 15:14,Chander Parkash,Thousanda of people died in sleep in a severe earthquake in Turkey & nearby areas. The earthquake struck at around 4.30 hours early morning.Many multi storied apartments fell like pack of cards. In the harsh winter people could not find shelter for protection #Earthquaketurkey
2/7/2023 15:16,Mohd Abdullah,"Earthquake !! Thoughts and Prayers for Turkey, Syria, Lebanon, Jordan and all the other places affected Ya Allah Reham #earthquake #earthquaketurkey #Syria #Lebanon #Jordan"
2/7/2023 15:16,Lara 🌈 Diary of Dreams,"I just went there in a GAP tour and took a pic in front of the castle. I am seriously devestated 😭😭😭😭

#Gaziantep… https://t.co/y7j85N8BzK"
2/7/2023 15:20,Canelo Kot,"#Turkey needs help and #Mexico is already going there... God be with all of you.

#CaneloKot #Turkey #Tragedy… https://t.co/nl1LtU4fho"
2/7/2023 15:21,Official SHER KHAN🗨,May Allah's protect Turkey and Syria. #earthquaketurkey
2/7/2023 15:28,AFZAL HUSAIN افضل حسین,One of the oldest mosques in Turkey falls of the 7.8 magnitude earthquake that hit the country today. It was built in 1894. It fell today. #earthquaketurkey  #turkiyeearthquake #earthquakesyria #Turkey
2/7/2023 15:29,FES International,"Pray for Turkey &amp; Syria🤲🏻

#Earthquake #earthquakeinturkey #Turkey #TurkeyEarthquake #turkiyeearthquake… https://t.co/FSlWCKqf1C"
2/7/2023 15:35,GNN,"Destructive earthquake in Turkey and Syria. The death toll exceeded 3,800
#GNN #breakingnews #newsUpdates… https://t.co/8WQ4VVk6j4"
2/7/2023 15:35,Anurag Anuj Tiwari BJP 🇮🇳,Total Chaos…as multiple Buildings continue to fall and people continue to run in panic… #earthquake #earthquakeinturkey #Turkey #earthquaketurkey #Syria #syriaearthquake #Turkiye #Turkish
2/7/2023 15:36,ɢᴜʀᴊᴀʀ (भाटी),"Ya Allah kareem, forgive us for our sins and ᴍɪꜱᴛᴀᴋᴇꜱ
ᴩʀᴀy ꜰᴏʀ🤲🏻 #PrayForTurkey
 #earthquaketurkey"
2/7/2023 15:38,Haniya 🌐,"True 🙏🤦‍♂️

#هزة_أرضية
Powerful 7.8 #earthquake #earthquaketurkey Cyprus #Turkey #TurkeyQuake 
 #زلزال
#Syria… https://t.co/Sn8RPKRN0A"
2/7/2023 15:44,Madiha,"Prayers for Turkey, Syria, Lebanon, Jordan, Iraq, Palestine and all affected places 😔😢🖤
#earthquake… https://t.co/OOqMB17Pn6"
2/7/2023 16:17,Dr. Serdar Dalkir,"Thousands of aid volunteers flock to #Istanbul Airport.

#deprem #earthquaketurkey #Turkey #Turkiye https://t.co/FuWowOdEc7"
2/7/2023 16:28,Zaina Erhaim #FreeAlaa,"One of the #Syria #Earthquaketurkey stories: Qasem's sister has been under the wreckage of 5 floors building for over 1.5 day. ""we got the bodies of her kids and husband and buried them, but not her, she is pregnant with a twin""."
2/7/2023 16:33,Itamilradar,"Italian Air Force Locheed C-130J (reg. MM62189) back from Adana, #Turkey. The Italian aircraft carried a team of about 50 rescuers, several search dogs and search and rescue equipment #earthquakeinturkey #earthquaketurkey #Turkiye  🇮🇹🤝🇹🇷"
2/7/2023 17:26,Islamic Reminders,VIDEO: 'Only Allah can help us…Many of these brothers don’t know where their families are...' See the heartbreaking account from Ummah Welfare Trust's staff inside #Syria where many women and children remain unaccounted for.
2/7/2023 18:17,Oman Observer 🇴🇲,"Up to 23 million people could be affected by the massive earthquake that has killed thousands in Turkey and Syria, the World Health Organization warned Tuesday.  #TurkyEarthQuake  #Syria"
2/7/2023 20:55,Fadila Zeyad,Another 7.5 magnitude earthquake in Turkey Prayers for our brothers &amp; sisters ALLAH protect all of us #earthquake #TurkeyEarthquake #earthquaketurkey #İstanbul
2/8/2023 9:57,AKUT,"#AKUToperasyon After the 7.7 magnitude earthquakes in Pazarcık district of Kahramanmaraş and then 7.6 magnitude in Elbistan district, our teams continue their work uninterruptedly. #earthquake #earthquaketurkey… https://t.co/qwUFhipj6v"
2/8/2023 9:27,salil arunkumar sand,Oh God please be kind!! Yet another earthquake strikes #Turkey!! #TurkeyEarthquake #TurkeyQuake #PrayForTurkey… https://t.co/ELmQ9dAx4h
2/8/2023 5:47,Neeraj tiwari,"Watch: Rescue team can be seen rejoicing, after rescuing children alive. #TurkeyEarthquake #TurkeySyriaEarthquake… https://t.co/DPfykesuWw"
2/8/2023 4:08,Israel in Chicago,"@Israel helping hand to those affected in earthquake-ravaged Turkey. Offering medical aid & essential supplies, #Israel stands united with the Turkish people. 🇹🇷🇮🇱🙏🏼"
2/8/2023 3:35,Chris Dunn,Update on devastating earthquake in Turkey. https://t.co/7V7LrUoAwL  #turkey #earthquake #earthquaketurkey #disaster
2/8/2023 2:50,Tessa Chapman,"I met some wonderful people today in the worst of circumstances. 

And their stories of hope and loss will sadly be… https://t.co/lCEah5Eetb"
2/8/2023 1:08,Punjab Board of Investment and Trade,People of Pakistan express deepest condolences and sympathies with the people of Republic of Turkiye on this calamity. @PakTrade_Turkey #pbit #punjab #punjabturkey #earthquake #turkiye #turkey #pakistan #earthquakeinturkey #earthquaketurkey #solidarity
2/8/2023 0:50,Mid Day,#MiddayNews | IN PHOTOS: NDRF reaches earthquake-hit Turkey as India pledges quick aid #InPhotos #NDRF #earthquake #earthquakeinturkey #earthquaketurkey #Turkiye #TurkeyQuake #Turkey #India #Quick #Aid
2/8/2023 0:13,Team Rubicon,We stand with those affected and are working to provide support. The road to recovery starts with a clear understanding of the situationTeam Rubicon has an Assessment Team on the way to the Turkey - Syria earthquake. #DisasterResponse #earthquaketurkey
2/8/2023 11:04,India Today Fact Check,Fact Check: Old videos from #Japan and #Indonesia WRONGLY shared as footage from #Turkey and #Syria quakes (By: @journalistjyoti) #earthquakeinturkey #earthquake #earthquaketurkey #earthquakes
2/8/2023 23:34,Lila Hassan ليلى حسن,It is so difficult not to feel like only we care about us. #earthquakesyria #earthquaketurkey https://t.co/U26GneIjKG
2/8/2023 23:27,Selmin Çalışkan,"Actually, it is rather a genuine intl. solidarity action of friends in #Turkey, #Germany & #Syria than a commercial donation campaign. We all believe in the well being & human rights of people regardless who, what & where they are. #deprem #earthquaketurkey #ErdbebenInSyrien"
2/8/2023 17:17,Galatta Media,#NewsUpdate | 'Operation Dost' - India sends Tons Of Relief Aid to #Turkey. Image courtesy - @MEAIndia #TurkeyEarthquake #SyriaEarthquake #India #Syria #Earthquaketurkey #Galatta
2/8/2023 16:27,Sally Becker 💛💙,We are ready to support NGO’s helping victims of the earthquake in #Syria and #Turkey. If your organisation could benefit from having free access to our paediatric experts please register here to use the app: http://saveachild-referrers.org  @BAPS195 @EupsaSurgeons #earthquaketurkey
2/8/2023 18:14,Asahi Shimbun AJW,"Japan, charities sending rescuers, aid to quake-hit Turkey, Syria #TurkeySyriaEarthquake #earthquaketurkey #Relief… https://t.co/NOp4E5U1rS"
2/8/2023 18:49,Barzani Charity Foundation,"#BCF rescue and medical teams helping the #earthquaketurkey victims.

#Turkeyquake #Syria #syriaearthquake… https://t.co/VL6eL0MHhy"
2/8/2023 18:56,ILKHA,Hizbullah Jamaah calls for solidarity with earthquake-affected people #Hizbullah #earthquaketurkey… https://t.co/YLeS7IhNwi
2/8/2023 21:39,Yᴏᴜʀ Fᴀᴠᴏʀɪᴛᴇ Aʟɪᴇɴ,WHY IS TWITTER IN TURKEY NOT AVAILABLE OR BEING SHUT DOWN? WHAT IS THE CAUSE OF THIS?! #EarthquakeTurkey #Turkey PE… https://t.co/7dv3jp1WAl
2/9/2023 3:37,Ammara Awan,Turkish goalkeeper Ahmet Eyup Turkaslan passed away in the earthquake. May Allah SWT grant Jannah to him and all the departed souls... Aameen! RIP! 🌸 ... #TurkeySyriaEarthquake #Turkey #TurkeyEarthquake #PrayForTurkey #earthquake #Syria #earthquakeinturkey #earthquaketurkey
2/9/2023 4:06,tighnari simp,Internet access blocked please help. there are a lot of people under the buildings #earthquake #earthquakeinturkey… https://t.co/q1zyPnc36R
2/9/2023 5:58,NTV America,"Baby born under earthquake rubble named ‘miracle’ by hospital

#babybornmiracle #earthquaketurkey… https://t.co/5asfjFhFlk"
2/9/2023 6:02,#FF0000,"Dear @YouTube,
Our thanks for your condolences and kind words of sympathy for Türkiye.🙏🙏🙏
#Deprem #Earthquake… https://t.co/l3IGmt8VH7"
2/9/2023 6:17,Andrea's Toolbox,The moment when a woman is saved after the catastrophic earthquake that hit Turkey and Syria 🙏🏼 . . . .… https://t.co/AHTmGMHCuc
2/9/2023 7:05,SR,@iPinkLadyy Absolutely devastating the damage and destruction caused by the #earthquaketurkey #earthquakesyria. The people who have lost their lives and those who have lost loved ones. My thoughts and prayers are with you #PrayersForTurkey #PrayersForSyria
2/9/2023 8:28,Servcorp,"Our thoughts and prayers are with Turkey, Syria and Lebanon. 

#earthquaketurkey #prayforlebanon #prayforturkey… https://t.co/pIjy1Hh86W"
2/9/2023 11:10,Level 08 YT,"""Sending my thoughts and prayers to the people of Turkey and Syria affected by the earthquake. May they find comfort in knowing that the world is standing with them during these difficult times"" 🙏 #PrayForTurkey #earthquakeinturkey #TurkeySyriaEarthquake #earthquaketurkey"
2/9/2023 12:09,Momiji_♫,"Pray for them all. 🙏
From Thailand 🇹🇭🇹🇭

#ส่งกำลังใจ
#แผ่นดินไหว #ตุรกี
#earthquaketurkey
#PrayForTurkeysyria… https://t.co/QGRS6gk3kx"
2/9/2023 12:15,التغريدة السورية,"BREAKING: Turkey-Syria earthquake death toll passes 15,000 BREAKING: Earthquake death toll in Turkey is now at 12,391, with a further 3,486 dead in Syria #earthquakesyria #earthquaketurkey"
2/9/2023 13:52,Sandip Jadhav,Indian National Disaster Response Force teams have now reached #Turkey and commenced search and rescue operations.  #OperationDost #earthquake #Turkey #Syria #earthquaketurkey #India #NDRF #NDRF_in_Turkey
2/9/2023 14:44,Kadir Toptaş🇹🇷💙💛,We need electric stoves and coal stoves in earthquake zones. We need international support. #earthquakeinturkey… https://t.co/OZRgo1ehrs
2/9/2023 15:31,Martyn David Gould,Kindness is powerful.  Please donate what you can.  @BritishRedCross #earthquaketurkey https://t.co/e2tzW9nJgf
2/9/2023 15:32,rightcoverage,"Yes, we've donated.

Kindness is powerful.  Please donate what you can.  @BritishRedCross #earthquaketurkey https://t.co/3HWgwl4L0S"
2/9/2023 15:33,Whale 🐳 | Meta Influencer,"Really hard times and days we are in to..

Any help you want to do, please contact with me for #Turkey 🇹🇷🙏🏻❤️

Than… https://t.co/xpLmssPzon"
2/9/2023 15:36,Maxum,Many in the disaster zone slept in their cars or in streets under blankets in freezing cold.. #maxum #antakya #turkey #syria #earthquake #earthquaketurkey #syriaearthquake #turkeyneedshelp #turkey🇹🇷
2/9/2023 16:11,Antoney Calvert,After the terrible #earthquake in Turkey & Syria you can help by donating directly to @UNICEF to help them provide shelter and aid https://unicef.org.uk #earthquaketurkey #earthquakeinsyria
2/9/2023 17:18,Soner🦅Ilhan♟️🇯🇵,"Kids need your Red-Suits! Turkey watched you,  Don't watch Turkey. #earthquakeinturkey #earthquaketurkey @netflixturkiye @ursulolita @AlvaroMorte @lacasadepapel @LaCasaDePapelTV"
2/9/2023 17:28,Hrishita Jaisvi,"Spine-chilling visuals of the Catastrophic wreckage caused by the MegaDisaster in Turkey…

#TurkeySyriaEarthquake… https://t.co/eGOrzGTATm"
2/9/2023 17:40,Oneindia News,Turkey Earthquake: Top 5 heartbreaking images of the aftermath https://t.co/m1s7qmTq2b #turkeyearthquake… https://t.co/vfsPJq4j8v
2/9/2023 18:04,Witches of Art,"Help Turkey! 

Donate to @ahbap It is a reputable NGO! 

Spread the word please!

#earthquake #earthquaketurkey… https://t.co/AkOQMYszYk"
2/9/2023 18:21,@fire - Internationaler Katastrophenschutz,"A mother and her six-year-old daughter were rescued alive overnight from a collapsed house in #Kahramanmaraş, Turke… https://t.co/PWTliIsavF"
2/9/2023 18:22,Cindemirfatih.eth,"World don't leave us alone! The Turkish nation did not leave anyone alone, do not leave us alone. 🚨 #earthquake… https://t.co/TE58QNq3tc"
2/9/2023 18:23,ROSE BAYRAKTAR,@JuanfraEscudero Please give my part to #earthquaketurkey for example to @IHHnl they are on the field helping victims. Thank you
2/9/2023 19:13,MK,"Arrived at Emdener Str. to find everyone helping, packing & bringing stuff. One of my happiest moments ❤️ #turkey #syria #earthquake #earthquaketurkey #earthquakeinsyria  #Berlin"
2/9/2023 19:13,Faith Joseph,"Thanks For Taking Action!
Now Share It
#earthquake #earthquaketurkey #earthquakesyria https://t.co/GJ8yw7xUcZ https://t.co/NF6btwzxLJ"
2/9/2023 19:14,Truth never sink,"Please help Syria and Türkiye. There in no time to wait.  The earthquake victims are shivering with cold, hunger and fear. #HelpTurkiye #HelpSyria #HelpTurkeySyria #Helpturkeyandsyria #PrayForTurkeyAndSyria #earthquaketurkey #earthquakeinsyria https://ifrc.org/press-release/ifrc-launches-international-emergency-appeals-chf-200-million-respond-deadly#main-content"
2/9/2023 19:17,Ciarán Grumley 🌍,Jesus these numbers are staggering  #earthquakeinturkey #earthquake #earthquakesyria #earthquaketurkey
2/9/2023 19:27,Mary Langford,@BBCWorld My late #USAF father oversaw logistics of the international rescue operation after the 1970 Ancash earthquake (70k died) in #Peru.  Int'l military airlifts/airdrop of supplies/recue workers was only way to access. Are you exploring this? angle?#earthquaketurkey @Tobias_Ellwood
2/9/2023 19:43,Cosmozenz,"Dutch researcher suggested that the Indian subcontinent is next in line.
.
.
 #earthquake #earthquakes… https://t.co/DXH3XGliSf"
2/9/2023 19:56,Yeni Asya English,"IT IS TIME TO BE ONE HEART

https://t.co/Xsa6dzdbaJ

#earthquakeinturkey #earthquake #earthquaketurkey… https://t.co/pVz7vM8trJ"
2/9/2023 20:01,Ruth Millington🌍🧳🥾📚,"I'm not surprised there is growing anger in Turkey especially when citizens were told the buildings were earthquake proof. Time will tell if they actually did meet the regs, and whether the regs were such that they could withstand a 7.8 magnitude #earthquake #earthquaketurkey"
2/9/2023 20:34,Manish Tiwari,"Aerial view of the Destruction caused by multiple powerful earthquakes in Turkey and Syria as the death count now surpasses 12,000 #TurkeySyriaEarthquake #earthquake #Turkey #earthquaketurkey #Syria #TurkeyQuake #syriaearthquake #TurkeyEarthquake #turkeyearthquake2023"
2/9/2023 20:38,Zubair ☄️,Turkish celebrities and scholars from other regions came to help Pakistan in times of floods of summer 2022. Did any of Pakistani scholars or media celebrities care to go to Turkey to contribute to the efforts of relief and rescue?? #earthquaketurkey #زلزال_ترکیا #زلزال #Pakistan
2/9/2023 21:05,landings.gr,Additional humanitarian aid from Greece to Turkey due to #earthquaketurkey transferred by @aegeanairlines A320 SX-DVN flights AEE4992 AEE4996 + scheduled AEE4998 AEE4982. https://t.co/9t6XMfdUVo 
2/9/2023 21:14,Ghaz,"Dear @BOLNETWORK, its not just #Turkey that is affected by the #earthquake, #Syria is also badly affected and I haven't seen u mentioning them… #TurkeySyriaEarthquake #earthquakeinturkey #earthquaketurkey https://t.co/HNCcgatrI6"
2/9/2023 21:23,ANI,"A Turkish woman hugs a woman officer of the Indian Army and gives her a peck, in an earthquake-affected area of Turkey. Indian Army has deployed disaster relief teams and Army Field Hospital to help the victims of the earthquake.  #TurkeyEarthquake"
2/9/2023 21:25,Spyros Theodoritsis,Every member of a rescue team must get 2-3 months off work and paid therapy. They are heroes and save lives but the toll they pay is massive and not recognised. #earthquakeinturkey #earthquaketurkey
2/9/2023 21:46,Zehavit Ben Hillel,"Yesterday, @MASHAVisrael sent to #Türkiye the first off-grid innovative 💦 purification systems, to help with the severe shortage of drinking water in the disaster area. Warm coats, blankets and sleeping bags are also on the way from #Israel to #earthquaketurkey 🇹🇷🇮🇱 https://t.co/gNx3EM44pI"
2/9/2023 21:55,Aryan Khan Kanrani,"A father trying to break and remove debris with his bare hands in order to search for his trapped family…He shouts ""Say something girls, make some noise…” But receives no reply… #TurkeySyriaEarthquake #earthquake #Turkey #earthquaketurkey #Syria #TurkeyEarthquake #TurkeyQuake https://t.co/uqEQBm7Vav"
2/9/2023 21:58,elfidanft,The money earned here will be donated to people in Turkey. #opensea #OpenSeaNFT #donate #OpenSeaCollection #earthquake #earthquaketurkey https://t.co/TyNV0SMkO8
