text,label
respons formid aid plane take almost daili help search rescu medic treatment rehabilit,positif
accus if death intent could save atsu intern left die question bongo fake news,negatif
chindi choor shameless,negatif
ndrf rescuer deploy rkiy wind exert tremend effort contribut toward mitig coloss tragedi caus,negatif
pakistani govern pack relief good sent turkey flood victim sent back turkey earthquak victim famou quot come one countri produc mani rectum,negatif
thank good rescuer,positif
miracl babi,positif
rest peac ghanian legendari footbal,positif
cloth item everyday essenti need,negatif
pleas pray morn still much pain loss devast indescrib rebuild year,negatif
may god merci soul lost one whole famili name complet wipe,positif
turkish actor rais 6 1 billion earthquak victim famou turkish actor rais 6 billion earthquak victim turkey syria live telethon collect donat mashaallah,negatif
footbal christian atsu found rubbl home almost two week 7 8 magnitud earthquak hit turkey syria agent confirm,negatif
may find peac midst tragedi may memori lost sourc comfort strength day come deepest sympathi,positif
glad express love publicli often wife famili like ladi appear claim,positif
farewel christian atsu legend,negatif
unit state provid addit 100 million dollar earthquak respons turkey syria u state depart said sunday ad 85 million previous approv,positif
turkey aftermath earthquak focu europ via,negatif
act god caus earthquak turkey murder corrupt caus mani death constanz letsch,negatif
turkey earthquak challeng erdogan ahead elect via,positif
pray syria,positif
metallica foundat donat 250 000 aid victim massiv earthquak turkey syria,negatif
nasa send heartbeat detect finder help turkey earthquak recoveri effort,positif
secretari state blinken tour devast earthquak turkey,negatif
stupid system 1 countri block countri sweden finland join allianc countri hit earthquak probabl got help 2 countri boycot shame leader,negatif
pray peopl,positif
turkey end search rescu oper nearli two week huge earthquak kill ten thousand peopl countri disast manag author said,negatif
hope wrong think recent earthquak turkey hmm,negatif
icymi turkish airlin chang logo especi across social media platform mourn famili lost love one earthquak devast turkey syria,negatif
45 000 peopl report dead due recent deadli earthquak hit countri turkey syria come heel corona viru scare 2020 anoth report axi euphrat river also rep,negatif
blinken tour earthquak zone turkey unveil 100 million aid,negatif
thank continu support victim turkey syria,positif
dear cousin nurdan husband talat lost live great earthquak turkey remain unforgotten,positif
death toll devast earthquak southeastern exceed 41 000 turkey emerg manag agenc,negatif
sad news christian atsu die age 31 bodi found 12 day devast earthquak turkey agent manag confirm former premier leagu footbal play newcastl chelsea went miss follow devast earthquak turkey,negatif
director aftersun charlott well tear honour turkey earthquak victim accept bafta award,positif
italian actor director writer playwright ascanio celestini invit support earthquak victim donat heyva sor kurdistan thank support,positif
turkey announc search rescu effort complet earthquak zone except southern kahramanmara hatay provinc death toll increas,positif
one turkey earthquak victim,negatif
devast earthquak kill 46 000 peopl across turkey syria past two week one worst disast recent histori,negatif
fight god peopl save god also keep busi turkey earthquak,positif
46 400 peopl die across syria turkey sinc earthquak nearli two week ago offici said final day search rescu oper emerg worker manag extract hand peopl rubbl aliv,negatif
coupl miracul pull turkey earthquak rubbl 12 day,negatif
remain former black star player christian atsu final arriv kotoka intern airport ghana remain found twelv day turkish author recent earthquak occur turkey,negatif
senat accus wef engin turkey earthquak erdogan upset klau schwab news punch,negatif
break earth crust turkish provinc hatay aftermath earthquak turkey,negatif
turkey earthquak survivor still rescu death toll pass 46 000 via,negatif
soccer star found dead mani still miss turkey earthquak rubbl,negatif
great man fallen great footbal gone mourn strong,positif
earthquak aftershock felt kahramanmara gaziantep turkey,negatif
m4 1 strike 24 km 2 min ago info,negatif
turkey end earthquak defens blanken pledg fresh us aid,positif
turkey earthquak red balloon place rubbl honour child victim releas singl 99 red balloon proce go victim countri,negatif
artemi vision express sincer condol deepest sympathi syria turkey loss thousand innoc live larg scale destruct wrought ruthless earthquak,positif
hi could help turkish man led larg scale fundrais effort ballina help assist earthquak relief effort turkey syria travel mar 7th non perish good bring given addit allow,positif
earthquak death toll turkey syria pass 46 000 desper sign life grow,negatif
first group ukrainian rescuer return turkey week emerg worker help turkish colleagu search peopl rubbl elimin consequ earthquak welcom home guy,positif
turkey earthquak corrupt misrul made deadlier turkish presid recep tayyip erdogan hollow state institut place loyalist key posit enrich croni pave way tragedi,negatif
turkey halt rescu effort earthquak survivor cnn,positif
strang haarp cloud syria turkey earthquak,negatif
build made turkey syria earthquak deadli arac l yla,negatif
white hous pledg 100m earthquak aid turkey syria hill,negatif
1 hospit northern hundr children lie alon survivor famili follow devast hit one heart tell yet lost entir famili,negatif
sec antoni blinken visit hardest hit area turkey follow deadli earthquak,negatif
search rescu team hard work turkey syria earthquak survivor still pull rubbl ogb medic director spoke effect winter temperatur trauma patient,negatif
turkey halt rescu effort earthquak survivor,positif
us secretari state say provid longer term help seek rebuild follow month,positif
curiou illeg cross still cross gotten vax countri know american drop like fli seem like replac heard peopl turkey head earthquak,positif
midst turkey recent earthquak search rescu team discov 2 million cash belong one earthquak victim money deliv author,positif
4 1 magnitud 24 km gaziantep turkey,negatif
regul capit one biggest driver human progress unregul capit lead bank real estat failur like 2008 earthquak cal live kill dozen turkey kill ten thousand lack gov ref build code,negatif
charli hebdo make fun dead turkey earthquak via,negatif
well glad least earthquak turkey genuin epicent wait,positif
romanian senat claim turkey earthquak caus geolog weapon part mass genocid agenda,negatif
februari 3 2023 massiv earthquak struck turkey syria unit state plan ad 100 million dollar previous 85 million alreadi given presid biden plan split money refuge humanitarian support,positif
develop u secretari state antoni blinken arriv southern turkey sunday set tour earthquak disast zone accompani turkish foreign minist,negatif
u secretari state antoni blinken arriv southern turkey sunday set tour earthquak disast zone accompani turkish foreign minist,negatif
magnitudo 4 1 24 km nne nurda turkey 14 minut 30 second ago,negatif
turkey wind earthquak survivor rescu phase,positif
u secretari state antoni blinken taken helicopt tour one provinc worst affect feb 6 earthquak southern turkey northern syria pledg 100 million disast aid help region,negatif
read 3 earthquak expert predict 80 chanc istanbul 7 quak next decad doubt turkey follow anti seismic norm build well japan,negatif
turkey quak rescu effort earthquak survivor wound,positif
hard time understood well differ separ human be noth compar similar,positif
sad even may allah grant etern rest,negatif
misinform recent earthquak turkey like rest trash post blatant misinform clearli establish veget growth lip insid real fissur,positif
turkey earthquak red balloon place rubbl honour child victim bbc news,positif
piec well worth read detail failur build regul turkey highlight ingenu architect engin help design construct safer structur,positif
earthquak turkey 19 death among moroccan nation embassi,negatif
would stronger point actual unregul capit 2008 like l crisi happen one regul industri also turkey build code mani meant focu earthquak exactli like also corrupt,positif
pass tinfoil hat conspiraci theori 1997 mel gibson julia robert video courtesi watch end xo,negatif
proud ethiopian airlin arriv gazantep today sever support group support earthquak disast turkey friend partner thank,positif
two week 7 8 magnitud earthquak hit turkey rescu oper countri call hope find survivor dim,positif
turkey halt rescu effort earthquak survivor,positif
christian atsu found dead rubbl build live follow turkey earthquak,negatif
sorrow heart announc mortal remain christian atsu flown ghana perceiv offic kotoka intern airport atsu die turkeyearthquak claim live,negatif
build made turkey syria earthquak deadli via,negatif
46 000 peopl kill earthquak struck turkey syria toll expect soar,negatif
messag young peopl light 2023 earthquak turkey syria except ye repent ye shall likewis perish luke 13 nahum 1 listen messag follow link,negatif
million peopl turkey remain need food shelter electr toilet almost two week devast earthquak turkish govern scrambl meet herculean challeng hous,negatif
follow deadli earthquak ravag much turkey remain jew antakya eight famili flown istanbul stay jewish nurs home,negatif
thousand turkish fan admir share anyth let alon help earthquak disast befel turkey time hurt love ronaldo heyyy,negatif
think thing prevent turkey earthquak proof infrastructur regul amaz,positif
earthquak turkey time knowledg countri still oil gold antiqu kill innoc peopl steal crop seed bank grow food,negatif
diseas spread turkey earthquak zone,negatif
turkey end rescu effort two earthquak hit provinc,positif
respect grief feyda doveli die earthquak turkey hope famili friend find comfort heart keep go path best way possibl death end know much person miss earth plane,negatif
southeast turkey close border syria 7 8 moment magnitud earthquak occur last februari 6 sensor around world detect seismic wave earthquak result catastroph consequ,negatif
great see volunt collabor variou global chapter serv human,positif
thing realli worri sf big one might hit turkey syria observ hundr year earthquak move back ca concern amount peopl tax would taken paycheck,negatif
turkey state ignor warn say engin architect beyond bulli coward erdogan complain architect done journalist made turkiy world lead jailer,negatif
