text,label,case folding,tokenizing,filtering,stemmed
heart soul peopl turkey,neutral,heart soul peopl turkey,"['heart', 'soul', 'peopl', 'turkey']","['heart', 'soul', 'peopl', 'turkey']","['heart', 'soul', 'peopl', 'turkey']"
help arriv happi must feel,positif,help arriv happi must feel,"['help', 'arriv', 'happi', 'must', 'feel']","['help', 'arriv', 'happi', 'must', 'feel']","['help', 'arriv', 'happi', 'must', 'feel']"
word mani peopl die even warn,negatif,word mani peopl die even warn,"['word', 'mani', 'peopl', 'die', 'even', 'warn']","['word', 'mani', 'peopl', 'die', 'even', 'warn']","['word', 'mani', 'peopl', 'die', 'even', 'warn']"
press releas jamaah ansharu syariah massiv earthquak disast turkey syria,negatif,press releas jamaah ansharu syariah massiv earthquak disast turkey syria,"['press', 'releas', 'jamaah', 'ansharu', 'syariah', 'massiv', 'earthquak', 'disast', 'turkey', 'syria']","['press', 'releas', 'jamaah', 'ansharu', 'syariah', 'massiv', 'earthquak', 'disast', 'turkey', 'syria']","['press', 'relea', 'jamaah', 'ansharu', 'syariah', 'massiv', 'earthquak', 'disast', 'turkey', 'syria']"
death toll turkey earthquak reach 2921 number injur 15 834 turkey emerg servic number death syria 1451 number injur 3531,positif,death toll turkey earthquak reach 2921 number injur 15 834 turkey emerg servic number death syria 1451 number injur 3531,"['death', 'toll', 'turkey', 'earthquak', 'reach', '2921', 'number', 'injur', '15', '834', 'turkey', 'emerg', 'servic', 'number', 'death', 'syria', '1451', 'number', 'injur', '3531']","['death', 'toll', 'turkey', 'earthquak', 'reach', '2921', 'number', 'injur', '15', '834', 'turkey', 'emerg', 'servic', 'number', 'death', 'syria', '1451', 'number', 'injur', '3531']","['death', 'toll', 'turkey', 'earthquak', 'reach', '2921', 'number', 'injur', '15', '834', 'turkey', 'emerg', 'servic', 'number', 'death', 'syria', '1451', 'number', 'injur', '3531']"
countri promptli part sent assist ndrf search rescu team rs chairman jagdeep dhankhar tragic earthquak turkey syria,negatif,countri promptli part sent assist ndrf search rescu team rs chairman jagdeep dhankhar tragic earthquak turkey syria,"['countri', 'promptli', 'part', 'sent', 'assist', 'ndrf', 'search', 'rescu', 'team', 'rs', 'chairman', 'jagdeep', 'dhankhar', 'tragic', 'earthquak', 'turkey', 'syria']","['countri', 'promptli', 'part', 'sent', 'assist', 'ndrf', 'search', 'rescu', 'team', 'rs', 'chairman', 'jagdeep', 'dhankhar', 'tragic', 'earthquak', 'turkey', 'syria']","['countri', 'promptli', 'part', 'sent', 'assist', 'ndrf', 'search', 'rescu', 'team', 'rs', 'chairman', 'jagdeep', 'dhankhar', 'tragic', 'earthquak', 'turkey', 'syria']"
sad hear 4 300 peopl lost live due earthquak happen turkey syria thought prayer go everyon tough lose love one,positif,sad hear 4 300 peopl lost live due earthquak happen turkey syria thought prayer go everyon tough lose love one,"['sad', 'hear', '4', '300', 'peopl', 'lost', 'live', 'due', 'earthquak', 'happen', 'turkey', 'syria', 'thought', 'prayer', 'go', 'everyon', 'tough', 'lose', 'love', 'one']","['sad', 'hear', '4', '300', 'peopl', 'lost', 'live', 'due', 'earthquak', 'happen', 'turkey', 'syria', 'thought', 'prayer', 'go', 'everyon', 'tough', 'lose', 'love', 'one']","['sad', 'hear', '4', '300', 'peopl', 'lost', 'live', 'due', 'earthquak', 'happen', 'turkey', 'syria', 'thought', 'prayer', 'go', 'everyon', 'tough', 'lose', 'love', 'one']"
may allah protect turkey syria,positif,may allah protect turkey syria,"['may', 'allah', 'protect', 'turkey', 'syria']","['may', 'allah', 'protect', 'turkey', 'syria']","['may', 'allah', 'protect', 'turkey', 'syria']"
pray turkey syria,positif,pray turkey syria,"['pray', 'turkey', 'syria']","['pray', 'turkey', 'syria']","['pray', 'turkey', 'syria']"
ya allah reham peopl may allah protect muslim brother sister,positif,ya allah reham peopl may allah protect muslim brother sister,"['ya', 'allah', 'reham', 'peopl', 'may', 'allah', 'protect', 'muslim', 'brother', 'sister']","['ya', 'allah', 'reham', 'peopl', 'may', 'allah', 'protect', 'muslim', 'brother', 'sister']","['ya', 'allah', 'reham', 'peopl', 'may', 'allah', 'protect', 'muslim', 'brother', 'sister']"
turkey declar level 4 state alert mean intern call help current 1 usd 18 83 tri 1 eur 20 18 tri even slightest help huge impact need help matter big littl pleas help turkey,negatif,turkey declar level 4 state alert mean intern call help current 1 usd 18 83 tri 1 eur 20 18 tri even slightest help huge impact need help matter big littl pleas help turkey,"['turkey', 'declar', 'level', '4', 'state', 'alert', 'mean', 'intern', 'call', 'help', 'current', '1', 'usd', '18', '83', 'tri', '1', 'eur', '20', '18', 'tri', 'even', 'slightest', 'help', 'huge', 'impact', 'need', 'help', 'matter', 'big', 'littl', 'pleas', 'help', 'turkey']","['turkey', 'declar', 'level', '4', 'state', 'alert', 'mean', 'intern', 'call', 'help', 'current', '1', 'usd', '18', '83', 'tri', '1', 'eur', '20', '18', 'tri', 'even', 'slightest', 'help', 'huge', 'impact', 'need', 'help', 'matter', 'big', 'littl', 'pleas', 'help', 'turkey']","['turkey', 'declar', 'level', '4', 'state', 'alert', 'mean', 'intern', 'call', 'help', 'current', '1', 'usd', '18', '83', 'tri', '1', 'eur', '20', '18', 'tri', 'even', 'slightest', 'help', 'huge', 'impact', 'need', 'help', 'matter', 'big', 'littl', 'plea', 'help', 'turkey']"
may allah protect turkey syria,positif,may allah protect turkey syria,"['may', 'allah', 'protect', 'turkey', 'syria']","['may', 'allah', 'protect', 'turkey', 'syria']","['may', 'allah', 'protect', 'turkey', 'syria']"
pray turkey syria lebanon,positif,pray turkey syria lebanon,"['pray', 'turkey', 'syria', 'lebanon']","['pray', 'turkey', 'syria', 'lebanon']","['pray', 'turkey', 'syria', 'lebanon']"
earthquak measur 7 0 richter scale strike eastern turkey stay safe everyon,neutral,earthquak measur 7 0 richter scale strike eastern turkey stay safe everyon,"['earthquak', 'measur', '7', '0', 'richter', 'scale', 'strike', 'eastern', 'turkey', 'stay', 'safe', 'everyon']","['earthquak', 'measur', '7', '0', 'richter', 'scale', 'strike', 'eastern', 'turkey', 'stay', 'safe', 'everyon']","['earthquak', 'measur', '7', '0', 'richter', 'scale', 'strike', 'eastern', 'turkey', 'stay', 'safe', 'everyon']"
news near region may allah keep everi one safe protect world ameen,neutral,news near region may allah keep everi one safe protect world ameen,"['news', 'near', 'region', 'may', 'allah', 'keep', 'everi', 'one', 'safe', 'protect', 'world', 'ameen']","['news', 'near', 'region', 'may', 'allah', 'keep', 'everi', 'one', 'safe', 'protect', 'world', 'ameen']","['news', 'near', 'region', 'may', 'allah', 'keep', 'everi', 'one', 'safe', 'protect', 'world', 'ameen']"
next step take action put system place respond impact experienc today prepar uncertain tomorrow,positif,next step take action put system place respond impact experienc today prepar uncertain tomorrow,"['next', 'step', 'take', 'action', 'put', 'system', 'place', 'respond', 'impact', 'experienc', 'today', 'prepar', 'uncertain', 'tomorrow']","['next', 'step', 'take', 'action', 'put', 'system', 'place', 'respond', 'impact', 'experienc', 'today', 'prepar', 'uncertain', 'tomorrow']","['next', 'step', 'take', 'action', 'put', 'system', 'place', 'respond', 'impact', 'experienc', 'today', 'prepar', 'uncertain', 'tomorrow']"
pleas help,neutral,pleas help,"['pleas', 'help']","['pleas', 'help']","['plea', 'help']"
good morn hope team,positif,good morn hope team,"['good', 'morn', 'hope', 'team']","['good', 'morn', 'hope', 'team']","['good', 'morn', 'hope', 'team']"
clip rescu work turkey earthquak,positif,clip rescu work turkey earthquak,"['clip', 'rescu', 'work', 'turkey', 'earthquak']","['clip', 'rescu', 'work', 'turkey', 'earthquak']","['clip', 'rescu', 'work', 'turkey', 'earthquak']"
purpl foundat extend heartfelt condol solidar govern peopl turkey syria aftermath devast earthquak tragic loss life,neutral,purpl foundat extend heartfelt condol solidar govern peopl turkey syria aftermath devast earthquak tragic loss life,"['purpl', 'foundat', 'extend', 'heartfelt', 'condol', 'solidar', 'govern', 'peopl', 'turkey', 'syria', 'aftermath', 'devast', 'earthquak', 'tragic', 'loss', 'life']","['purpl', 'foundat', 'extend', 'heartfelt', 'condol', 'solidar', 'govern', 'peopl', 'turkey', 'syria', 'aftermath', 'devast', 'earthquak', 'tragic', 'loss', 'life']","['purpl', 'foundat', 'extend', 'heartfelt', 'condol', 'solidar', 'govern', 'peopl', 'turkey', 'syria', 'aftermath', 'devast', 'earthquak', 'tragic', 'loss', 'life']"
heart go peopl affect devast earthquak turkey loss life damag commun tragic send love support need hope swift recoveri,positif,heart go peopl affect devast earthquak turkey loss life damag commun tragic send love support need hope swift recoveri,"['heart', 'go', 'peopl', 'affect', 'devast', 'earthquak', 'turkey', 'loss', 'life', 'damag', 'commun', 'tragic', 'send', 'love', 'support', 'need', 'hope', 'swift', 'recoveri']","['heart', 'go', 'peopl', 'affect', 'devast', 'earthquak', 'turkey', 'loss', 'life', 'damag', 'commun', 'tragic', 'send', 'love', 'support', 'need', 'hope', 'swift', 'recoveri']","['heart', 'go', 'peopl', 'affect', 'devast', 'earthquak', 'turkey', 'loss', 'life', 'damag', 'commun', 'tragic', 'send', 'love', 'support', 'need', 'hope', 'swift', 'recoveri']"
aftershock follow deadli earthquak turkey syria continu sever day sever week mayb even sever month say expert,neutral,aftershock follow deadli earthquak turkey syria continu sever day sever week mayb even sever month say expert,"['aftershock', 'follow', 'deadli', 'earthquak', 'turkey', 'syria', 'continu', 'sever', 'day', 'sever', 'week', 'mayb', 'even', 'sever', 'month', 'say', 'expert']","['aftershock', 'follow', 'deadli', 'earthquak', 'turkey', 'syria', 'continu', 'sever', 'day', 'sever', 'week', 'mayb', 'even', 'sever', 'month', 'say', 'expert']","['aftershock', 'follow', 'deadli', 'earthquak', 'turkey', 'syria', 'continu', 'sever', 'day', 'sever', 'week', 'mayb', 'even', 'sever', 'month', 'say', 'expert']"
hour sinc terribl earthquak countri thousand peopl rubbl govern author help us silenc us whole world hear voic help,positif,hour sinc terribl earthquak countri thousand peopl rubbl govern author help us silenc us whole world hear voic help,"['hour', 'sinc', 'terribl', 'earthquak', 'countri', 'thousand', 'peopl', 'rubbl', 'govern', 'author', 'help', 'us', 'silenc', 'us', 'whole', 'world', 'hear', 'voic', 'help']","['hour', 'sinc', 'terribl', 'earthquak', 'countri', 'thousand', 'peopl', 'rubbl', 'govern', 'author', 'help', 'us', 'silenc', 'us', 'whole', 'world', 'hear', 'voic', 'help']","['hour', 'sinc', 'terribl', 'earthquak', 'countri', 'thousand', 'peopl', 'rubbl', 'govern', 'author', 'help', 'us', 'silenc', 'us', 'whole', 'world', 'hear', 'voic', 'help']"
heartbreak moment rescu child without famili,negatif,heartbreak moment rescu child without famili,"['heartbreak', 'moment', 'rescu', 'child', 'without', 'famili']","['heartbreak', 'moment', 'rescu', 'child', 'without', 'famili']","['heartbreak', 'moment', 'rescu', 'child', 'without', 'famili']"
want save peopl,neutral,want save peopl,"['want', 'save', 'peopl']","['want', 'save', 'peopl']","['want', 'save', 'peopl']"
turkey rescu worker struggl death toll pass 4400 earthquak,negatif,turkey rescu worker struggl death toll pass 4400 earthquak,"['turkey', 'rescu', 'worker', 'struggl', 'death', 'toll', 'pass', '4400', 'earthquak']","['turkey', 'rescu', 'worker', 'struggl', 'death', 'toll', 'pass', '4400', 'earthquak']","['turkey', 'rescu', 'worker', 'struggl', 'death', 'toll', 'pass', '4400', 'earthquak']"
massiv destruct turkey syria,negatif,massiv destruct turkey syria,"['massiv', 'destruct', 'turkey', 'syria']","['massiv', 'destruct', 'turkey', 'syria']","['massiv', 'destruct', 'turkey', 'syria']"
aftershock,neutral,aftershock,['aftershock'],['aftershock'],['aftershock']
afghanistan pakistan india china could next meet 5 8 magnitud earthquak india epicent may allah almighti protect,positif,afghanistan pakistan india china could next meet 5 8 magnitud earthquak india epicent may allah almighti protect,"['afghanistan', 'pakistan', 'india', 'china', 'could', 'next', 'meet', '5', '8', 'magnitud', 'earthquak', 'india', 'epicent', 'may', 'allah', 'almighti', 'protect']","['afghanistan', 'pakistan', 'india', 'china', 'could', 'next', 'meet', '5', '8', 'magnitud', 'earthquak', 'india', 'epicent', 'may', 'allah', 'almighti', 'protect']","['afghanistan', 'pakistan', 'india', 'china', 'could', 'next', 'meet', '5', '8', 'magnitud', 'earthquak', 'india', 'epic', 'may', 'allah', 'almighti', 'protect']"
unfortun peopl suffer die solut avoid climat catastroph,negatif,unfortun peopl suffer die solut avoid climat catastroph,"['unfortun', 'peopl', 'suffer', 'die', 'solut', 'avoid', 'climat', 'catastroph']","['unfortun', 'peopl', 'suffer', 'die', 'solut', 'avoid', 'climat', 'catastroph']","['unfortun', 'peopl', 'suffer', 'die', 'solut', 'avoid', 'climat', 'catastroph']"
due terribl earthquak turkey sham 2000 peopl die far tri difficult time turkey,negatif,due terribl earthquak turkey sham 2000 peopl die far tri difficult time turkey,"['due', 'terribl', 'earthquak', 'turkey', 'sham', '2000', 'peopl', 'die', 'far', 'tri', 'difficult', 'time', 'turkey']","['due', 'terribl', 'earthquak', 'turkey', 'sham', '2000', 'peopl', 'die', 'far', 'tri', 'difficult', 'time', 'turkey']","['due', 'terribl', 'earthquak', 'turkey', 'sham', '2000', 'peopl', 'die', 'far', 'tri', 'difficult', 'time', 'turkey']"
may allah help protect,positif,may allah help protect,"['may', 'allah', 'help', 'protect']","['may', 'allah', 'help', 'protect']","['may', 'allah', 'help', 'protect']"
begin,neutral,begin,['begin'],['begin'],['begin']
ya allah reham turkey syria,positif,ya allah reham turkey syria,"['ya', 'allah', 'reham', 'turkey', 'syria']","['ya', 'allah', 'reham', 'turkey', 'syria']","['ya', 'allah', 'reham', 'turkey', 'syria']"
heartbreak moment rescu child without famili,negatif,heartbreak moment rescu child without famili,"['heartbreak', 'moment', 'rescu', 'child', 'without', 'famili']","['heartbreak', 'moment', 'rescu', 'child', 'without', 'famili']","['heartbreak', 'moment', 'rescu', 'child', 'without', 'famili']"
may allah merci prayer turkey countri affect,positif,may allah merci prayer turkey countri affect,"['may', 'allah', 'merci', 'prayer', 'turkey', 'countri', 'affect']","['may', 'allah', 'merci', 'prayer', 'turkey', 'countri', 'affect']","['may', 'allah', 'merci', 'prayer', 'turkey', 'countri', 'affect']"
prayer victim express deepest sympathi famili victim,positif,prayer victim express deepest sympathi famili victim,"['prayer', 'victim', 'express', 'deepest', 'sympathi', 'famili', 'victim']","['prayer', 'victim', 'express', 'deepest', 'sympathi', 'famili', 'victim']","['prayer', 'victim', 'express', 'deepest', 'sympathi', 'famili', 'victim']"
pray turkey,positif,pray turkey,"['pray', 'turkey']","['pray', 'turkey']","['pray', 'turkey']"
prayer turkey syria,positif,prayer turkey syria,"['prayer', 'turkey', 'syria']","['prayer', 'turkey', 'syria']","['prayer', 'turkey', 'syria']"
video devast turkey,neutral,video devast turkey,"['video', 'devast', 'turkey']","['video', 'devast', 'turkey']","['video', 'devast', 'turkey']"
way start day alhamdulilah,neutral,way start day alhamdulilah,"['way', 'start', 'day', 'alhamdulilah']","['way', 'start', 'day', 'alhamdulilah']","['way', 'start', 'day', 'alhamdulilah']"
due aftershock build fall morn turkey,neutral,due aftershock build fall morn turkey,"['due', 'aftershock', 'build', 'fall', 'morn', 'turkey']","['due', 'aftershock', 'build', 'fall', 'morn', 'turkey']","['due', 'aftershock', 'build', 'fall', 'morn', 'turkey']"
thought prayer peopl deep condol famili victim sincer wish speedi recoveri injur,positif,thought prayer peopl deep condol famili victim sincer wish speedi recoveri injur,"['thought', 'prayer', 'peopl', 'deep', 'condol', 'famili', 'victim', 'sincer', 'wish', 'speedi', 'recoveri', 'injur']","['thought', 'prayer', 'peopl', 'deep', 'condol', 'famili', 'victim', 'sincer', 'wish', 'speedi', 'recoveri', 'injur']","['thought', 'prayer', 'peopl', 'deep', 'condol', 'famili', 'victim', 'sincer', 'wish', 'speedi', 'recoveri', 'injur']"
dog call peopl help owner trap rubbl,positif,dog call peopl help owner trap rubbl,"['dog', 'call', 'peopl', 'help', 'owner', 'trap', 'rubbl']","['dog', 'call', 'peopl', 'help', 'owner', 'trap', 'rubbl']","['dog', 'call', 'peopl', 'help', 'owner', 'trap', 'rubbl']"
send love prayer affect devast,negatif,send love prayer affect devast,"['send', 'love', 'prayer', 'affect', 'devast']","['send', 'love', 'prayer', 'affect', 'devast']","['send', 'love', 'prayer', 'affect', 'devast']"
guess send help israel countri syrian govern activ fight sinc found,positif,guess send help israel countri syrian govern activ fight sinc found,"['guess', 'send', 'help', 'israel', 'countri', 'syrian', 'govern', 'activ', 'fight', 'sinc', 'found']","['guess', 'send', 'help', 'israel', 'countri', 'syrian', 'govern', 'activ', 'fight', 'sinc', 'found']","['guess', 'send', 'help', 'israel', 'countri', 'syrian', 'govern', 'activ', 'fight', 'sinc', 'found']"
rescu team fli,neutral,rescu team fli,"['rescu', 'team', 'fli']","['rescu', 'team', 'fli']","['rescu', 'team', 'fli']"
ya allaha help brother sister need,positif,ya allaha help brother sister need,"['ya', 'allaha', 'help', 'brother', 'sister', 'need']","['ya', 'allaha', 'help', 'brother', 'sister', 'need']","['ya', 'allaha', 'help', 'brother', 'sister', 'need']"
human,neutral,human,['human'],['human'],['human']
still honor opposit group take initi break sieg syria syrian,negatif,still honor opposit group take initi break sieg syria syrian,"['still', 'honor', 'opposit', 'group', 'take', 'initi', 'break', 'sieg', 'syria', 'syrian']","['still', 'honor', 'opposit', 'group', 'take', 'initi', 'break', 'sieg', 'syria', 'syrian']","['still', 'honor', 'opposit', 'group', 'take', 'initi', 'break', 'sieg', 'syria', 'syrian']"
thousanda peopl die sleep sever earthquak turkey nearbi area earthquak struck around 4 30 hour earli morn mani multi stori apart fell like pack card harsh winter peopl could find shelter protect,negatif,thousanda peopl die sleep sever earthquak turkey nearbi area earthquak struck around 4 30 hour earli morn mani multi stori apart fell like pack card harsh winter peopl could find shelter protect,"['thousanda', 'peopl', 'die', 'sleep', 'sever', 'earthquak', 'turkey', 'nearbi', 'area', 'earthquak', 'struck', 'around', '4', '30', 'hour', 'earli', 'morn', 'mani', 'multi', 'stori', 'apart', 'fell', 'like', 'pack', 'card', 'harsh', 'winter', 'peopl', 'could', 'find', 'shelter', 'protect']","['thousanda', 'peopl', 'die', 'sleep', 'sever', 'earthquak', 'turkey', 'nearbi', 'area', 'earthquak', 'struck', 'around', '4', '30', 'hour', 'earli', 'morn', 'mani', 'multi', 'stori', 'apart', 'fell', 'like', 'pack', 'card', 'harsh', 'winter', 'peopl', 'could', 'find', 'shelter', 'protect']","['thousanda', 'peopl', 'die', 'sleep', 'sever', 'earthquak', 'turkey', 'nearbi', 'area', 'earthquak', 'struck', 'around', '4', '30', 'hour', 'earli', 'morn', 'mani', 'multi', 'stori', 'apart', 'fell', 'like', 'pack', 'card', 'harsh', 'winter', 'peopl', 'could', 'find', 'shelter', 'protect']"
earthquak thought prayer turkey syria lebanon jordan place affect ya allah reham,positif,earthquak thought prayer turkey syria lebanon jordan place affect ya allah reham,"['earthquak', 'thought', 'prayer', 'turkey', 'syria', 'lebanon', 'jordan', 'place', 'affect', 'ya', 'allah', 'reham']","['earthquak', 'thought', 'prayer', 'turkey', 'syria', 'lebanon', 'jordan', 'place', 'affect', 'ya', 'allah', 'reham']","['earthquak', 'thought', 'prayer', 'turkey', 'syria', 'lebanon', 'jordan', 'place', 'affect', 'ya', 'allah', 'reham']"
went gap tour took pic front castl serious devest,neutral,went gap tour took pic front castl serious devest,"['went', 'gap', 'tour', 'took', 'pic', 'front', 'castl', 'serious', 'devest']","['went', 'gap', 'tour', 'took', 'pic', 'front', 'castl', 'serious', 'devest']","['went', 'gap', 'tour', 'took', 'pic', 'front', 'castl', 'seriou', 'devest']"
need help alreadi go god,positif,need help alreadi go god,"['need', 'help', 'alreadi', 'go', 'god']","['need', 'help', 'alreadi', 'go', 'god']","['need', 'help', 'alreadi', 'go', 'god']"
may allah protect turkey syria,positif,may allah protect turkey syria,"['may', 'allah', 'protect', 'turkey', 'syria']","['may', 'allah', 'protect', 'turkey', 'syria']","['may', 'allah', 'protect', 'turkey', 'syria']"
one oldest mosqu turkey fall 7 8 magnitud earthquak hit countri today built 1894 fell today,neutral,one oldest mosqu turkey fall 7 8 magnitud earthquak hit countri today built 1894 fell today,"['one', 'oldest', 'mosqu', 'turkey', 'fall', '7', '8', 'magnitud', 'earthquak', 'hit', 'countri', 'today', 'built', '1894', 'fell', 'today']","['one', 'oldest', 'mosqu', 'turkey', 'fall', '7', '8', 'magnitud', 'earthquak', 'hit', 'countri', 'today', 'built', '1894', 'fell', 'today']","['one', 'oldest', 'mosqu', 'turkey', 'fall', '7', '8', 'magnitud', 'earthquak', 'hit', 'countri', 'today', 'built', '1894', 'fell', 'today']"
pray turkey syria,positif,pray turkey syria,"['pray', 'turkey', 'syria']","['pray', 'turkey', 'syria']","['pray', 'turkey', 'syria']"
destruct earthquak turkey syria death toll exceed 3 800,negatif,destruct earthquak turkey syria death toll exceed 3 800,"['destruct', 'earthquak', 'turkey', 'syria', 'death', 'toll', 'exceed', '3', '800']","['destruct', 'earthquak', 'turkey', 'syria', 'death', 'toll', 'exceed', '3', '800']","['destruct', 'earthquak', 'turkey', 'syria', 'death', 'toll', 'exceed', '3', '800']"
total chao multipl build continu fall peopl continu run panic,negatif,total chao multipl build continu fall peopl continu run panic,"['total', 'chao', 'multipl', 'build', 'continu', 'fall', 'peopl', 'continu', 'run', 'panic']","['total', 'chao', 'multipl', 'build', 'continu', 'fall', 'peopl', 'continu', 'run', 'panic']","['total', 'chao', 'multipl', 'build', 'continu', 'fall', 'peopl', 'continu', 'run', 'panic']"
ya allah kareem forgiv us sin,positif,ya allah kareem forgiv us sin,"['ya', 'allah', 'kareem', 'forgiv', 'us', 'sin']","['ya', 'allah', 'kareem', 'forgiv', 'us', 'sin']","['ya', 'allah', 'kareem', 'forgiv', 'us', 'sin']"
true power 7 8 cypru,neutral,true power 7 8 cypru,"['true', 'power', '7', '8', 'cypru']","['true', 'power', '7', '8', 'cypru']","['true', 'power', '7', '8', 'cypru']"
prayer turkey syria lebanon jordan iraq palestin affect place,positif,prayer turkey syria lebanon jordan iraq palestin affect place,"['prayer', 'turkey', 'syria', 'lebanon', 'jordan', 'iraq', 'palestin', 'affect', 'place']","['prayer', 'turkey', 'syria', 'lebanon', 'jordan', 'iraq', 'palestin', 'affect', 'place']","['prayer', 'turkey', 'syria', 'lebanon', 'jordan', 'iraq', 'palestin', 'affect', 'place']"
thousand aid volunt flock airport,neutral,thousand aid volunt flock airport,"['thousand', 'aid', 'volunt', 'flock', 'airport']","['thousand', 'aid', 'volunt', 'flock', 'airport']","['thousand', 'aid', 'volunt', 'flock', 'airport']"
one stori qasem sister wreckag 5 floor build 1 5 day got bodi kid husband buri pregnant twin,neutral,one stori qasem sister wreckag 5 floor build 1 5 day got bodi kid husband buri pregnant twin,"['one', 'stori', 'qasem', 'sister', 'wreckag', '5', 'floor', 'build', '1', '5', 'day', 'got', 'bodi', 'kid', 'husband', 'buri', 'pregnant', 'twin']","['one', 'stori', 'qasem', 'sister', 'wreckag', '5', 'floor', 'build', '1', '5', 'day', 'got', 'bodi', 'kid', 'husband', 'buri', 'pregnant', 'twin']","['one', 'stori', 'qasem', 'sister', 'wreckag', '5', 'floor', 'build', '1', '5', 'day', 'got', 'bodi', 'kid', 'husband', 'buri', 'pregnant', 'twin']"
italian air forc loche c 130j reg mm62189 back adana italian aircraft carri team 50 rescuer sever search dog search rescu equip,neutral,italian air forc loche c 130j reg mm62189 back adana italian aircraft carri team 50 rescuer sever search dog search rescu equip,"['italian', 'air', 'forc', 'loche', 'c', '130j', 'reg', 'mm62189', 'back', 'adana', 'italian', 'aircraft', 'carri', 'team', '50', 'rescuer', 'sever', 'search', 'dog', 'search', 'rescu', 'equip']","['italian', 'air', 'forc', 'loche', 'c', '130j', 'reg', 'mm62189', 'back', 'adana', 'italian', 'aircraft', 'carri', 'team', '50', 'rescuer', 'sever', 'search', 'dog', 'search', 'rescu', 'equip']","['italian', 'air', 'forc', 'loch', 'c', '130j', 'reg', 'mm62189', 'back', 'adana', 'italian', 'aircraft', 'carri', 'team', '50', 'rescuer', 'sever', 'search', 'dog', 'search', 'rescu', 'equip']"
