tweet_final,Positive,Negative,Neutral,Compound,Sentiment
ya allah reham turkey syria,0.0,0.0,1.0,0.0,neutral
heartbreak moment rescu child without famili,0.0,0.425,0.575,-0.5719,negatif
may allah merci prayer turkey countri affect,0.0,0.0,1.0,0.0,neutral
prayer victim express deepest sympathi famili victim,0.0,0.457,0.543,-0.4939,negatif
pray turkey,0.697,0.0,0.303,0.3182,positif
prayer turkey syria,0.0,0.0,1.0,0.0,neutral
video devast turkey,0.0,0.0,1.0,0.0,neutral
way start day alhamdulilah,0.0,0.0,1.0,0.0,neutral
due aftershock build fall morn turkey,0.0,0.0,1.0,0.0,neutral
thought prayer peopl deep condol famili victim sincer wish speedi recoveri injur,0.182,0.142,0.676,0.1531,positif
dog call peopl help owner trap rubbl,0.27,0.23,0.5,0.1027,positif
send love prayer affect devast,0.512,0.0,0.488,0.6369,positif
guess send help israel countri syrian govern activ fight sinc found,0.189,0.182,0.629,0.0258,positif
rescu team fli,0.0,0.0,1.0,0.0,neutral
ya allaha help brother sister need,0.351,0.0,0.649,0.4019,positif
human,0.0,0.0,1.0,0.0,neutral
still honor opposit group take initi break sieg syria syrian,0.262,0.0,0.738,0.4939,positif
thousanda peopl die sleep sever earthquak turkey nearbi area earthquak struck around 4 30 hour earli morn mani multi stori apart fell like pack card harsh winter peopl could find shelter protect,0.128,0.221,0.652,-0.5719,negatif
earthquak thought prayer turkey syria lebanon jordan place affect ya allah reham,0.0,0.0,1.0,0.0,neutral
went gap tour took pic front castl serious devest,0.0,0.14,0.86,-0.0772,negatif
need help alreadi go god,0.615,0.0,0.385,0.5859,positif
may allah protect turkey syria,0.394,0.0,0.606,0.3818,positif
one oldest mosqu turkey fall 7 8 magnitud earthquak hit countri today built 1894 fell today,0.0,0.0,1.0,0.0,neutral
pray turkey syria,0.535,0.0,0.465,0.3182,positif
destruct earthquak turkey syria death toll exceed 3 800,0.0,0.549,0.451,-0.8074,negatif
total chao multipl build continu fall peopl continu run panic,0.0,0.268,0.732,-0.5106,negatif
ya allah kareem forgiv us sin,0.0,0.419,0.581,-0.5574,negatif
true power 7 8 cypru,0.583,0.0,0.417,0.4215,positif
prayer turkey syria lebanon jordan iraq palestin affect place,0.0,0.0,1.0,0.0,neutral
thousand aid volunt flock airport,0.0,0.0,1.0,0.0,neutral
one stori qasem sister wreckag 5 floor build 1 5 day got bodi kid husband buri pregnant twin,0.0,0.0,1.0,0.0,neutral
italian air forc loche c 130j reg mm62189 back adana italian aircraft carri team 50 rescuer sever search dog search rescu equip,0.0,0.0,1.0,0.0,neutral
video allah help us mani brother know famili see heartbreak account ummah welfar trust staff insid mani women children remain unaccount,0.217,0.134,0.65,0.3182,positif
23 million peopl could affect massiv earthquak kill thousand turkey syria world health organ warn tuesday,0.0,0.303,0.697,-0.7269,negatif
anoth 7 5 magnitud earthquak turkey prayer brother sister allah protect us,0.224,0.0,0.776,0.3818,positif
7 7 magnitud earthquak pazarc k district kahramanmara 7 6 magnitud elbistan district team continu work uninterruptedli,0.0,0.0,1.0,0.0,neutral
oh god pleas kind yet anoth earthquak strike,0.458,0.125,0.417,0.6124,positif
watch rescu team seen rejoic rescu children aliv,0.0,0.0,1.0,0.0,neutral
help hand affect earthquak ravag turkey offer medic aid essenti suppli stand unit turkish peopl,0.312,0.0,0.688,0.7096,positif
updat devast earthquak turkey,0.0,0.0,1.0,0.0,neutral
met wonder peopl today worst circumst stori hope loss sadli,0.178,0.393,0.429,-0.5423,negatif
peopl pakistan express deepest condol sympathi peopl republ turkiy calam,0.0,0.0,1.0,0.0,neutral
photo ndrf reach earthquak hit turkey india pledg quick aid,0.109,0.0,0.891,0.0258,positif
stand affect work provid support road recoveri start clear understand situationteam rubicon assess team way turkey syria earthquak,0.249,0.0,0.751,0.6486,positif
fact check old video wrongli share footag quak,0.239,0.0,0.761,0.296,positif
difficult feel like care us,0.559,0.245,0.196,0.4939,positif
actual rather genuin intl solidar action friend commerci donat campaign believ well human right peopl regardless,0.275,0.0,0.725,0.6486,positif
oper dost india send ton relief aid imag courtesi,0.279,0.0,0.721,0.4767,positif
readi support ngo help victim earthquak organis could benefit free access paediatr expert pleas regist use app,0.453,0.081,0.465,0.8625,positif
japan chariti send rescuer aid quak hit turkey syria,0.0,0.0,1.0,0.0,neutral
rescu medic team help victim,0.346,0.269,0.385,0.1531,positif
hizbullah jamaah call solidar earthquak affect peopl,0.0,0.0,1.0,0.0,neutral
twitter turkey avail shut caus pe,0.0,0.0,1.0,0.0,neutral
turkish goalkeep ahmet eyup turkaslan pass away earthquak may allah swt grant jannah depart soul aameen rip,0.135,0.0,0.865,0.3612,positif
internet access block pleas help lot peopl build,0.233,0.25,0.517,-0.0516,negatif
babi born earthquak rubbl name miracl hospit,0.0,0.0,1.0,0.0,neutral
dear thank condol kind word sympathi rkiy,0.68,0.0,0.32,0.8176,positif
moment woman save catastroph earthquak hit turkey syria,0.314,0.0,0.686,0.4939,positif
absolut devast damag destruct caus peopl lost live lost love one thought prayer,0.198,0.377,0.425,-0.4215,negatif
thought prayer turkey syria lebanon,0.0,0.0,1.0,0.0,neutral
send thought prayer peopl turkey syria affect earthquak may find comfort know world stand difficult time,0.132,0.132,0.737,0.0,neutral
pray thailand,0.697,0.0,0.303,0.3182,positif
break turkey syria earthquak death toll pass 15 000 break earthquak death toll turkey 12 391 3 486 dead syria,0.0,0.431,0.569,-0.9201,negatif
indian nation disast respons forc team reach commenc search rescu oper,0.099,0.0,0.901,0.0258,positif
need electr stove coal stove earthquak zone need intern support,0.231,0.0,0.769,0.4019,positif
kind power pleas donat,0.531,0.0,0.469,0.5267,positif
ye donat kind power pleas donat,0.405,0.0,0.595,0.5267,positif
realli hard time day help want pleas contact,0.385,0.135,0.481,0.3818,positif
mani disast zone slept car street blanket freez cold,0.0,0.0,1.0,0.0,neutral
terribl turkey syria help donat directli help provid shelter aid,0.403,0.0,0.597,0.6597,positif
kid need red suit turkey watch watch turkey,0.0,0.0,1.0,0.0,neutral
spine chill visual catastroph wreckag caus megadisast turkey,0.0,0.0,1.0,0.0,neutral
turkey earthquak top 5 heartbreak imag aftermath,0.189,0.389,0.421,-0.4404,negatif
help turkey donat reput ngo spread word pleas,0.278,0.0,0.722,0.4019,positif
mother six year old daughter rescu aliv overnight collaps hous turk,0.0,0.0,1.0,0.0,neutral
world leav us alon turkish nation leav anyon alon leav us alon,0.0,0.0,1.0,0.0,neutral
pleas give part exampl field help victim thank,0.423,0.171,0.407,0.4767,positif
arriv emden str find everyon help pack bring stuff one happiest moment,0.408,0.0,0.592,0.7845,positif
thank take action share,0.701,0.0,0.299,0.5719,positif
pleas help syria rkiy time wait earthquak victim shiver cold hunger fear,0.15,0.406,0.444,-0.5574,negatif
jesu number stagger,0.394,0.0,0.606,0.0772,positif
late father oversaw logist intern rescu oper 1970 ancash earthquak 70k die int l militari airlift airdrop suppli recu worker way access explor angl,0.0,0.151,0.849,-0.5994,negatif
dutch research suggest indian subcontin next line,0.0,0.0,1.0,0.0,neutral
time one heart,0.0,0.0,1.0,0.0,neutral
surpris grow anger turkey especi citizen told build earthquak proof time tell actual meet reg whether reg could withstand 7 8 magnitud,0.0,0.163,0.837,-0.5719,negatif
aerial view destruct caus multipl power earthquak turkey syria death count surpass 12 000,0.0,0.378,0.622,-0.8074,negatif
turkish celebr scholar region came help pakistan time flood summer 2022 pakistani scholar media celebr care go turkey contribut effort relief rescu,0.321,0.0,0.679,0.8402,positif
addit humanitarian aid greec turkey due transfer a320 sx dvn flight aee4992 aee4996 schedul aee4998 aee4982,0.0,0.0,1.0,0.0,neutral
dear affect also badli affect seen u mention,0.302,0.0,0.698,0.3818,positif
turkish woman hug woman offic indian armi give peck earthquak affect area turkey indian armi deploy disast relief team armi field hospit help victim earthquak,0.278,0.066,0.656,0.7783,positif
everi member rescu team must get 2 3 month work paid therapi hero save live toll pay massiv recognis,0.306,0.063,0.631,0.7506,positif
yesterday sent first grid innov purif system help sever shortag drink water disast area warm coat blanket sleep bag also way,0.195,0.0,0.805,0.5574,positif
father tri break remov debri bare hand order search trap famili shout say someth girl make nois receiv repli,0.142,0.102,0.756,0.2263,positif
money earn donat peopl turkey,0.0,0.0,1.0,0.0,neutral
unfortun 14 351 peopl lost live 63 794 peopl still injur also rescu team consist 115 688 peopl continu work field tirelessli,0.0,0.099,0.901,-0.3182,negatif
share messag,0.688,0.0,0.312,0.296,positif
look local turkish organ channel relief donat former doctor student colleagu recommend,0.359,0.0,0.641,0.6808,positif
rare view greec wish could enjoy listen harrow report suffer neighbor turkey aid ration turk first syrian women children turn away,0.215,0.128,0.657,0.34,positif
thought go peopl cope terribl tragedi us send love support,0.463,0.0,0.537,0.7845,positif
earthquak death surpass 19 000 survivor struggl stay warm fed,0.288,0.255,0.458,-0.128,negatif
humanitarian aid republ reject turkey,0.0,0.403,0.597,-0.4019,negatif
look local turkish ngo channel donat reliabl trust organis ground spearhead civil rescu relief effort pleas consid donat,0.286,0.0,0.714,0.7506,positif
send love strength team,0.787,0.0,0.213,0.8126,positif
babi save rescu team,0.516,0.0,0.484,0.4939,positif
rescuer pull 10 year old child rubbl 65 hour earthquak turkey hatay,0.0,0.0,1.0,0.0,neutral
turkish quak survivor face big freez car tent,0.263,0.0,0.737,0.3612,positif
2 februari 9 2023 20 50 17134 peopl lost live 70347 peopl injur,0.0,0.187,0.813,-0.3182,negatif
turkey earthquak live updat break news coverag,0.0,0.0,1.0,0.0,neutral
uae aid plane airlift relief suppli quak affect peopl syria turkiy,0.237,0.0,0.763,0.4767,positif
earthquak relief donat turkey syria today friday last day,0.279,0.0,0.721,0.4767,positif
us announc usd 85 mn humanitarian aid earthquak hit turkey syria read stori,0.0,0.0,1.0,0.0,neutral
6 year old girl rescu rubbl indian team turkey gujarat tak,0.0,0.0,1.0,0.0,neutral
number peopl lost live increas 18 342 number peopl increas 74 242,0.187,0.165,0.647,-0.1779,negatif
capac govt donat pleas els keep silent super rich politician donat forc educ institut rais fund chain effect,0.319,0.0,0.681,0.8176,positif
cat rescu rubbl rescuer sometim miracl happen,0.0,0.0,1.0,0.0,neutral
share photograph worth 10 like,0.767,0.0,0.233,0.6808,positif
dear friend follow around world countri face huge disast caus one two earthquak 7 8 7 6 hit singl day among biggest deadliest one world sinc 1950,0.288,0.0,0.712,0.7964,positif
get well soon turkey written electr board istanbul airport,0.208,0.0,0.792,0.2732,positif
jamaat prayer mosqu turkey earthquak,0.0,0.0,1.0,0.0,neutral
faizan qureshi interview kamran ashraf bhat media cinema research istanbul detail interview current situat rescu oper carri devast area discuss full,0.0,0.0,1.0,0.0,neutral
shortag food basic amen post earthquak ndtv tanushre pandey report ground zero kahramanmara,0.0,0.0,1.0,0.0,neutral
thank world,0.714,0.0,0.286,0.3612,positif
match stand turkey time crisi heart go affect recent earthquak let support heroic effort respond make differ donat,0.283,0.0,0.717,0.743,positif
born live miracl rescu 2 year old found aliv rubbl turkey via,0.0,0.0,1.0,0.0,neutral
pictur earth show earthquak occur today,0.0,0.0,1.0,0.0,neutral
help turkey earthquak disast occur turkey urgent lack tent support countri pleas support turkey tent help turkey,0.486,0.089,0.425,0.8519,positif
thank rafael mean lot,0.455,0.0,0.545,0.3612,positif
pray turkiy syria lebanon,0.434,0.0,0.566,0.3182,positif
chines rescu dog team turkey rescu,0.0,0.0,1.0,0.0,neutral
pregnant woman trap rubbl rescu 115 hour nurda district southern gaziantep provinc,0.0,0.173,0.827,-0.3182,negatif
care compass human,0.615,0.0,0.385,0.4939,positif
turkey stop contractor build collaps due earthquak tri travel,0.0,0.216,0.784,-0.296,negatif
still shock realli need,0.0,0.464,0.536,-0.3818,negatif
magnitud disast beyond imagin southeast part turkey sent today dog cat food 1st help anim need see els upcom day,0.124,0.0,0.876,0.4019,positif
allah test love,0.677,0.0,0.323,0.6369,positif
lot back n forth relief good perhap would better help citizen say,0.624,0.0,0.376,0.891,positif
death toll tragic earthquak turkiy surpass 20 000,0.0,0.535,0.465,-0.7845,negatif
safe app donat quak hit area drink water instant can food babi diaper feminin hygien product especi report need whatev pitch much good,0.216,0.0,0.784,0.7003,positif
humanitarian suppli sent embassi turkey georgia parliament georgia continu support earthquak victim stand turkey,0.161,0.125,0.714,0.1531,positif
dog cat lost owner earthquak turkey found insepar,0.0,0.247,0.753,-0.3182,negatif
info yet indian trap earthquak hit turkey say envoy,0.0,0.223,0.777,-0.3182,negatif
seek help save live impact earthquak turkey syria donat visi,0.424,0.0,0.576,0.7096,positif
citizen caught car second earthquak turkey,0.0,0.0,1.0,0.0,neutral
scari go tri pass time,0.0,0.0,1.0,0.0,neutral
brave daughter two nation nasreen 13 year young came debri 72 hour lost 3 member famili pose doctor maj beena tiwari indian armi 60 para field hospit iskenderun,0.111,0.075,0.814,0.2732,positif
heart goe peopl turkey devast earthquak stand turkish nation difficult time pray quick recoveri affect peopl pakistan,0.116,0.126,0.758,-0.0516,negatif
help needi peopl turkiy onlin donat visit gnrf garib nawaz relief,0.392,0.0,0.608,0.7003,positif
pakistani govern dispatch anoth shipment relief good turkey,0.5,0.0,0.5,0.7184,positif
donat turkey,0.0,0.0,1.0,0.0,neutral
everton footbal club liverpool footbal club come togeth support victim devast earthquak turkey syria,0.161,0.125,0.714,0.1531,positif
us eu elit alway promis back never,0.0,0.0,1.0,0.0,neutral
09 02 23 mani nation direct search rescu team turkey sourc spokesp,0.0,0.0,1.0,0.0,neutral
miracl babi pull rubbl 6th day rescu oper turkey 7 8 7 6 twin earthquak hit countri,0.0,0.0,1.0,0.0,neutral
ukrainian presid volodymyr zelenski visit embassi republ turkey ukrain paid tribut victim earthquak turkey,0.0,0.139,0.861,-0.2732,negatif
let help togeth peopl difficult situat earthquak send aid crypto link necessari inform,0.167,0.154,0.679,0.0516,positif
indian nation went miss massiv found dead rubbl,0.0,0.496,0.504,-0.7096,negatif
heartfelt condol prayer famili victim,0.407,0.244,0.349,0.34,positif
turkey syria earthquak death toll reach 23 700,0.1,0.355,0.545,-0.5859,negatif
almost die rescu effort thank good good hero,0.643,0.195,0.162,0.807,positif
sorri sorri pleas forgiv fault brother tri save three,0.248,0.209,0.543,0.128,positif
latest death toll week earthquak pass 25 000 accord data countri video,0.0,0.262,0.738,-0.5994,negatif
donat,0.0,0.0,1.0,0.0,neutral
earthquak rescu slow turkey hope find peopl aliv fade,0.266,0.0,0.734,0.4404,positif
anonym businessman pakistan donat 30m earthquak victim turkey syria,0.0,0.208,0.792,-0.2732,negatif
7 8 magnitud earthquak rock turkey syria kill least 25 000,0.0,0.37,0.63,-0.6908,negatif
c 17 globemast aircraft indian air forc left turkey syria relief materi,0.237,0.0,0.763,0.4767,positif
nahar volunt ground turkey distribut emerg food water medicin pleas donat gener,0.0,0.0,1.0,0.0,neutral
child surviv 5 day 120 hour without breastf,0.0,0.0,1.0,0.0,neutral
turkey lof money erdogan must help peopl,0.31,0.0,0.69,0.4019,positif
break 2 month old infant rescu aliv turkey 3 day buri rubbl,0.0,0.0,1.0,0.0,neutral
turkey earthquak 2023,0.0,0.0,1.0,0.0,neutral
emerg appeal may allah bless accept,0.574,0.0,0.426,0.6597,positif
turkish peopl stay strong,0.524,0.0,0.476,0.5106,positif
drone china use save peopl life west countri use kill peopl,0.189,0.278,0.533,-0.3612,negatif
pleas someon explain miracl kid manag surviv 130 hour without water food cold weather,0.0,0.0,1.0,0.0,neutral
ministri trade director gener custom turkey confin good sent foreign nation use affect area eq exempt custom duti provid sent gov institut public interest organ tax exempt org,0.266,0.0,0.734,0.7717,positif
let world know syrian die twice rubbl earthquak rule assad let histori write unit nation human right turn blind eye suffer syrian,0.0,0.347,0.653,-0.8779,negatif
help brother sister like one bodi one part bodi hurt feel,0.313,0.205,0.482,0.2023,positif
dog say put damn camera help us,0.26,0.26,0.481,0.0,neutral
turkey earthquak,0.0,0.0,1.0,0.0,neutral
earthquak death toll surpass 28 000 turkey syria,0.0,0.358,0.642,-0.5994,negatif
turkey syria rescu continu death toll near 26 000 salut peopl work continu rescu peopl rubbl whole world pray may allah w help turkish syrian peopl,0.162,0.126,0.712,0.0258,positif
life dead place memori live,0.0,0.518,0.482,-0.6486,negatif
heart continu ach horrif tragedi unfold deadli earthquak turkey syria,0.0,0.0,1.0,0.0,neutral
drone china provid light rescu scene cr logo,0.0,0.0,1.0,0.0,neutral
alway brother,0.0,0.0,1.0,0.0,neutral
world wake turkish barbar state enough enough,0.0,0.0,1.0,0.0,neutral
pleas donat,0.0,0.0,1.0,0.0,neutral
turkey quak presid erdogan accept problem respons,0.252,0.262,0.485,-0.0258,negatif
addit team rescuer land turkey morn brave harsh freez weather condit wast time alreadi begun crucial task,0.16,0.136,0.704,0.128,positif
sri lankan femal die earthquak turkey identifi,0.0,0.394,0.606,-0.5994,negatif
toll cross 28 000,0.0,0.0,1.0,0.0,neutral
extend deepest sympathi peopl turkey affect devast earthquak thought prayer difficult time,0.12,0.176,0.704,-0.2023,negatif
prayer turkey syria earthquak victim,0.0,0.344,0.656,-0.2732,negatif
global updat turkey crack develop build toppl earthquak,0.0,0.0,1.0,0.0,neutral
refus come hijab,0.0,0.0,1.0,0.0,neutral
death toll rise 33 179 29 605 3 574 earthquak shown import decentralis disast manag central plan odisha implement decentralis cyclon respons plan work well,0.075,0.139,0.786,-0.4215,negatif
pakistan armi sar team continu rescu oper turkey great job turkish brother,0.272,0.0,0.728,0.6249,positif
noth go alway someth go crazi world,0.0,0.0,1.0,0.0,neutral
heartbroken hear devast earthquak turkey send love support affect stay strong,0.474,0.2,0.326,0.7096,positif
turkey arrest build contractor earthquak death toll pass 33 000 via,0.0,0.412,0.588,-0.743,negatif
break news earthquak magnitud 4 7 occur 24 km south south east sse kahramanmara turkey usg earthquak,0.0,0.0,1.0,0.0,neutral
within next 42hr christian atsu locat,0.0,0.0,1.0,0.0,neutral
anonym pakistani donor donat 30 million victim,0.0,0.259,0.741,-0.2732,negatif
word describ much broken depress hard handl wholeheart,0.0,0.606,0.394,-0.7717,negatif
earthquak magnitud 4 7 strike turkey,0.0,0.333,0.667,-0.128,negatif
help turkey syrian earthquak imedi appeal paypal fundrais everi littl bit help,0.351,0.0,0.649,0.6597,positif
widespread influenc earthquak turkey heartbreak see prayer affect,0.0,0.346,0.654,-0.5719,negatif
earthquak victim turkey syria need help donat red cross canada,0.211,0.164,0.625,0.1531,positif
turkey syria earthquak death toll surpass 33 000,0.0,0.358,0.642,-0.5994,negatif
turkey earthquak buri aliv newborn son,0.0,0.0,1.0,0.0,neutral
littl girl rescu rubbl 150 hour turkish health ministri,0.0,0.0,1.0,0.0,neutral
one week fight rubl greek rescu team return home last night one state would done countri left back legaci solidar love year come,0.151,0.094,0.755,0.3818,positif
pray turkiy syria,0.535,0.0,0.465,0.3182,positif
miracul rescu two month old babi rescu rubbl collaps build 128 hour 5 day turkey babi surviv deadli disast immedi taken hospit medic check wish good health,0.189,0.0,0.811,0.6808,positif
sadaqa life let sadaqa ul fitr heal wound brother,0.0,0.0,1.0,0.0,neutral
death toll turkey syria earthquak rose 33 179 92 600 injur,0.0,0.281,0.719,-0.5994,negatif
russian militari activ help syria hit terribl earthquak,0.278,0.0,0.722,0.4019,positif
pray turkey syria,0.535,0.0,0.465,0.3182,positif
turkey quak justic offici investig build contractor,0.0,0.0,1.0,0.0,neutral
29500 die highli affect 2 mass grave 6000 bodi buri till mani debri let pray,0.116,0.328,0.556,-0.6369,negatif
5 year old stuck rubbl 5 day ask feel hungri thirsti rubbl repli person white cloth would come occasion feed give water,0.0,0.095,0.905,-0.25,negatif
pray turkey,0.697,0.0,0.303,0.3182,positif
fed angel babi surviv 128 hr rubbl turkey,0.0,0.0,1.0,0.0,neutral
video taken moment earthquak turkey,0.0,0.0,1.0,0.0,neutral
one minut silenc earthquak victim turkey syria pakistan rememb,0.0,0.208,0.792,-0.2732,negatif
govt turkiy request pakistan send aid quak victim,0.0,0.231,0.769,-0.2732,negatif
heartbreak news come turkey major earthquak strike countri send love support affect tragedi stay safe everyon,0.377,0.2,0.423,0.6808,positif
one greatest rescu mission done pakistani arm forc,0.375,0.0,0.625,0.6369,positif
earthquak turkey brought uncertainti passag across strait may affect price trend bulk commod stabl oper intern industri chain suppli chain,0.0,0.0,1.0,0.0,neutral
experienc disast,0.0,0.0,1.0,0.0,neutral
donat particip earthquak aid campaign afad foreign bank account,0.0,0.0,1.0,0.0,neutral
miracul rescu 5 year old ara 105 hour buri rubbl devast earthquak turkey,0.0,0.0,1.0,0.0,neutral
bodi uttarakhand person brought state turkey cremat,0.0,0.0,1.0,0.0,neutral
miracl rescu 10 year girl 13 year boy two women save 183 hour turkey,0.198,0.0,0.802,0.4939,positif
young girl rescu rubbl turkey 178 hour quak,0.0,0.0,1.0,0.0,neutral
send anoth aid consign quak hit turkey death toll top 35 000,0.115,0.248,0.637,-0.4767,negatif
courag salut report,0.0,0.0,1.0,0.0,neutral
everi nation busi help shout forget anoth countri ala world selfish,0.172,0.318,0.51,-0.3182,negatif
turkey syria earthquak rescu oper enter final phase pray wholeheartedli survivor everyon affect earthquak,0.286,0.0,0.714,0.5859,positif
testament peopl turkey syria work tirelessli everi minut save live,0.262,0.0,0.738,0.4939,positif
tragedi end tearsnupd death toll earthquak goe past 37 000,0.0,0.302,0.698,-0.5994,negatif
sister child lost mother,0.0,0.434,0.566,-0.3182,negatif
35 k peopl die far turkey massiv natur disast rest peac depart soul,0.0,0.262,0.738,-0.5994,negatif
worker taken hell,0.0,0.697,0.303,-0.6808,negatif
devast earthquak strike turkey syria leav trail destruct loss,0.0,0.545,0.455,-0.7351,negatif
turkish girl save spend 178 hour rubbl,0.348,0.0,0.652,0.4939,positif
dear world syrian turkish need help help msf unicef wfp other provid food,0.444,0.0,0.556,0.7906,positif
look expert field crisi manag disast recoveri support us time need will share us expertis pleas dm us detail pleas connect,0.205,0.0,0.795,0.5994,positif
anonym walk turkish embassi us donat 30 million earthquak survivor,0.217,0.0,0.783,0.3612,positif
15 year old syrian girl 65 year old father pull aliv rubbl turkey antakya trap nearli 9 day,0.0,0.126,0.874,-0.3182,negatif
slew fake campaign scam peopl ask donat help victim turkey syria full bulletin,0.131,0.432,0.437,-0.7351,negatif
tale two presid one cri one laugh,0.375,0.0,0.625,0.5574,positif
cat hug dog earthquak turkey save debri,0.558,0.0,0.442,0.743,positif
heart impact devast earthquak turkey challeng time crucial support one anoth binari studio proud help 7 famili affect disast,0.362,0.0,0.638,0.8176,positif
recent left thousand peopl need basic necess includ cloth bless opportun pack donat cloth sleep bag affect disast,0.141,0.0,0.859,0.4215,positif
turkey presid respons,0.0,0.0,1.0,0.0,neutral
thought prayer turkey,0.0,0.0,1.0,0.0,neutral
turkey reduc popul densiti capit reduc loss,0.0,0.277,0.723,-0.3182,negatif
turkey earthquak live rescu oper,0.0,0.0,1.0,0.0,neutral
big respect two turkish nurs earthquak stay strong care new born babi save,0.587,0.0,0.413,0.9153,positif
scammer profit turkey syria earthquak visit,0.367,0.0,0.633,0.4404,positif
turkey earthquak heartbreak aerial footag,0.0,0.481,0.519,-0.5719,negatif
big salut rescuer doctor volunt real hero,0.375,0.0,0.625,0.5574,positif
situat crise dog alway give peopl lesson loyal dog tri save nanni teach us import lesson life unpredict noth perman humbl respect kind,0.403,0.0,0.597,0.9153,positif
shame atleast think post advertis disast,0.0,0.383,0.617,-0.4767,negatif
m7 8 earthquak turkey syria work natur,0.0,0.0,1.0,0.0,neutral
earthquak rkiy left million peopl homeless dire need nourish help share resourc amount go long way,0.234,0.144,0.622,0.2263,positif
24 hour 10 countri withdrew ambassador epicent line thousand earthquak turkish secret servic investig possibl crimin intervent,0.0,0.0,1.0,0.0,neutral
month back reject wheat say bad qualiti today eat total free,0.189,0.354,0.457,-0.4404,negatif
muslim earthquak woken made start pray salah miss point,0.211,0.147,0.642,0.1779,positif
help turkey,0.73,0.0,0.27,0.4019,positif
would help die children turkey,0.281,0.406,0.312,-0.296,negatif
worri everyth go fine time heal,0.265,0.0,0.735,0.2023,positif
may allah help earthquak victim turkey syria bestow special merci,0.372,0.145,0.483,0.5106,positif
